frame_number,timestamp,track_id,x1,y1,x2,y2,confidence
134,5.36,3,691,374,707,386,1.0
135,5.4,2,782,339,794,351,1.0
135,5.4,3,691,374,707,386,1.0
136,5.44,2,782,339,794,351,1.0
136,5.44,3,691,374,707,386,1.0
137,5.48,2,782,339,794,351,1.0
137,5.48,3,691,374,707,386,1.0
137,5.48,4,789,314,801,328,1.0
138,5.52,2,782,339,794,351,1.0
138,5.52,3,691,374,707,386,1.0
138,5.52,4,790,311,803,323,1.0
139,5.56,2,782,339,794,351,1.0
139,5.56,3,691,374,707,386,1.0
139,5.56,4,790,308,804,322,1.0
140,5.6,2,782,339,794,351,1.0
140,5.6,3,691,374,707,386,1.0
140,5.6,4,790,308,804,322,1.0
141,5.64,2,782,339,794,351,1.0
141,5.64,3,691,374,707,386,1.0
141,5.64,4,790,308,804,322,1.0
142,5.68,2,782,339,794,351,1.0
142,5.68,3,691,374,707,386,1.0
142,5.68,4,790,308,804,322,1.0
143,5.72,2,782,339,794,351,1.0
143,5.72,3,691,374,707,386,1.0
143,5.72,4,790,308,804,322,1.0
144,5.76,2,782,339,794,351,1.0
144,5.76,3,691,374,707,386,1.0
144,5.76,4,790,308,804,322,1.0
145,5.8,2,782,339,794,351,1.0
145,5.8,4,790,308,804,322,1.0
146,5.84,2,782,339,794,351,1.0
146,5.84,4,789,312,801,324,1.0
147,5.88,2,782,339,794,351,1.0
147,5.88,4,789,313,800,324,1.0
148,5.92,2,782,339,794,351,1.0
148,5.92,4,788,309,801,322,1.0
149,5.96,2,782,339,794,351,1.0
149,5.96,4,788,309,801,322,1.0
150,6.0,2,782,339,794,351,1.0
150,6.0,4,788,309,801,322,1.0
151,6.04,2,782,339,794,351,1.0
151,6.04,4,788,302,800,312,1.0
152,6.08,2,782,339,794,351,1.0
152,6.08,4,788,301,800,311,1.0
153,6.12,2,782,339,794,351,1.0
153,6.12,4,788,301,800,311,1.0
154,6.16,2,782,339,794,351,1.0
154,6.16,4,789,301,800,311,1.0
155,6.2,2,782,339,794,351,1.0
155,6.2,4,789,302,801,313,1.0
156,6.24,2,782,339,794,351,1.0
156,6.24,4,789,302,801,313,1.0
157,6.28,2,782,339,794,351,1.0
157,6.28,4,789,302,801,313,1.0
158,6.32,2,782,339,794,351,1.0
158,6.32,4,788,302,799,313,1.0
159,6.36,2,782,339,794,351,1.0
159,6.36,4,788,302,799,313,1.0
160,6.4,2,782,339,794,351,1.0
160,6.4,4,788,302,799,313,1.0
161,6.44,2,782,339,794,351,1.0
161,6.44,4,788,302,799,313,1.0
162,6.48,2,782,339,794,351,1.0
162,6.48,4,788,302,799,313,1.0
163,6.52,2,782,339,794,351,1.0
163,6.52,4,788,302,799,313,1.0
164,6.56,4,788,302,799,313,1.0
165,6.6,4,788,302,799,313,1.0
166,6.64,4,788,302,799,313,1.0
167,6.68,4,788,302,799,313,1.0
168,6.72,4,725,302,736,313,1.0
169,6.76,4,725,302,736,313,1.0
170,6.8,4,707,302,720,314,1.0
171,6.84,4,707,302,720,314,1.0
172,6.88,4,707,302,720,314,1.0
173,6.92,4,707,302,720,314,1.0
174,6.96,4,707,302,720,314,1.0
175,7.0,4,707,302,720,314,1.0
176,7.04,4,707,302,720,314,1.0
177,7.08,4,707,302,720,314,1.0
178,7.12,4,707,302,720,314,1.0
179,7.16,4,707,302,720,314,1.0
180,7.2,4,707,302,720,314,1.0
180,7.2,5,616,304,630,317,1.0
180,7.2,6,579,283,589,295,1.0
181,7.24,4,707,302,720,314,1.0
181,7.24,5,616,304,630,317,1.0
181,7.24,6,579,283,589,295,1.0
182,7.28,4,707,302,720,314,1.0
182,7.28,5,616,304,630,317,1.0
182,7.28,6,579,283,589,295,1.0
183,7.32,4,707,302,720,314,1.0
183,7.32,5,618,304,636,316,1.0
183,7.32,6,579,283,589,295,1.0
184,7.36,4,707,302,720,314,1.0
184,7.36,5,618,304,636,316,1.0
184,7.36,6,579,283,589,295,1.0
185,7.4,4,707,302,720,314,1.0
185,7.4,5,618,304,636,316,1.0
185,7.4,6,579,283,589,295,1.0
186,7.44,4,707,302,720,314,1.0
186,7.44,5,618,304,636,316,1.0
186,7.44,6,579,283,589,295,1.0
187,7.48,4,707,302,720,314,1.0
187,7.48,5,618,304,636,316,1.0
187,7.48,6,579,283,589,295,1.0
187,7.48,7,708,311,725,323,1.0
188,7.52,4,707,302,720,314,1.0
188,7.52,5,618,304,636,316,1.0
188,7.52,6,579,283,589,295,1.0
188,7.52,7,727,316,746,327,1.0
189,7.56,4,707,302,720,314,1.0
189,7.56,5,618,304,636,316,1.0
189,7.56,6,579,283,589,295,1.0
189,7.56,7,727,316,746,327,1.0
190,7.6,4,707,302,720,314,1.0
190,7.6,5,618,304,636,316,1.0
190,7.6,6,579,283,589,295,1.0
190,7.6,7,727,316,746,327,1.0
190,7.6,8,765,326,782,337,1.0
191,7.64,4,707,302,720,314,1.0
191,7.64,5,618,304,636,316,1.0
191,7.64,6,579,283,589,295,1.0
191,7.64,7,727,316,746,327,1.0
191,7.64,8,782,332,800,344,1.0
192,7.68,4,707,302,720,314,1.0
192,7.68,5,618,304,636,316,1.0
192,7.68,6,579,283,589,295,1.0
192,7.68,7,727,316,746,327,1.0
192,7.68,8,782,332,800,344,1.0
193,7.72,4,815,346,832,359,1.0
193,7.72,5,618,304,636,316,1.0
193,7.72,6,579,283,589,295,1.0
193,7.72,7,727,316,746,327,1.0
193,7.72,8,782,332,800,344,1.0
194,7.76,4,829,350,844,363,1.0
194,7.76,5,618,304,636,316,1.0
194,7.76,6,579,283,589,295,1.0
194,7.76,7,727,316,746,327,1.0
194,7.76,8,782,332,800,344,1.0
195,7.8,4,829,350,844,363,1.0
195,7.8,5,618,304,636,316,1.0
195,7.8,6,579,283,589,295,1.0
195,7.8,7,727,316,746,327,1.0
195,7.8,8,782,332,800,344,1.0
196,7.84,4,829,350,844,363,1.0
196,7.84,5,618,304,636,316,1.0
196,7.84,6,579,283,589,295,1.0
196,7.84,7,727,316,746,327,1.0
196,7.84,8,782,332,800,344,1.0
197,7.88,4,829,350,844,363,1.0
197,7.88,5,618,304,636,316,1.0
197,7.88,6,579,283,589,295,1.0
197,7.88,7,727,316,746,327,1.0
197,7.88,8,782,332,800,344,1.0
198,7.92,4,829,350,844,363,1.0
198,7.92,5,618,304,636,316,1.0
198,7.92,6,579,283,589,295,1.0
198,7.92,7,727,316,746,327,1.0
198,7.92,8,782,332,800,344,1.0
199,7.96,4,829,350,844,363,1.0
199,7.96,5,618,304,636,316,1.0
199,7.96,6,579,283,589,295,1.0
199,7.96,7,727,316,746,327,1.0
199,7.96,8,782,332,800,344,1.0
199,7.96,9,869,294,885,306,1.0
200,8.0,4,829,350,844,363,1.0
200,8.0,5,618,304,636,316,1.0
200,8.0,6,579,283,589,295,1.0
200,8.0,7,727,316,746,327,1.0
200,8.0,8,782,332,800,344,1.0
200,8.0,9,869,294,885,306,1.0
201,8.04,4,829,350,844,363,1.0
201,8.04,5,618,304,636,316,1.0
201,8.04,6,579,283,589,295,1.0
201,8.04,7,727,316,746,327,1.0
201,8.04,8,782,332,800,344,1.0
201,8.04,9,869,294,885,306,1.0
201,8.04,10,895,372,911,386,1.0
202,8.08,4,829,350,844,363,1.0
202,8.08,5,618,304,636,316,1.0
202,8.08,6,579,283,589,295,1.0
202,8.08,7,727,316,746,327,1.0
202,8.08,8,782,332,800,344,1.0
